Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","I should probably look into structuring some of my daily tasks better, for instance by scheduling more or using timers as was mentioned above.",lost,35 - 44,Male,Self-employed,USA,Not really,sympathy,conscientiousness,loyalty
"Yes, I consent",11–20 minutes,"Social media scrolling, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Almost always,Often,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions, Aligning tasks with personal priorities or values","I would like to be able to focus more on tasks that are important, not just tasks that interest me. ",Lost. ,25 - 34,Female,Employed full-time,Scotland,Yes definitely,"Self, financial stability, kindness. ",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Rarely,Often,Almost always,Somewhat aligned,I feel somewhat more focused,None of the above,Leave phone out of reach,Tired,25 - 34,Male,Employed full-time,UK,Not really,Family,Friends,Fun
"Yes, I consent",5–10 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Almost always,Almost always,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Remove my smartphone when I am concentrating on things ,Distracted ,35 - 44,Female,Employed part-time,United Kingdom ,Somewhat,"Family, love and health ",Travel ,Happiness 
"Yes, I consent",21–30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Neutral,No noticeable difference,"Silencing notifications, Taking breaks / exercise",stop overthinking,irritated,55 +,Female,Other,Yorkshire and the Humber of the United Kingdom,Yes definitely,"Honesty, Happiness, Togetherness",Appreciation,Empathy
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Often,Almost always,Almost always,Not aligned at all,I feel much more focused and energized,Scheduling focus time / using timers,I think I need better structure to my day. At the moment I do things when I like and whenever I think about them.,Lazy,45 - 54,Male,Self-employed,United Kingdom,Not really,Honesty,Loyalty,Fairness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Often,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Less work I have to complete at the same time, I always feel like I have too much to do at the same time ",Frustrated ,45 - 54,Female,Employed full-time,New Zealand ,Somewhat,Treating people well ,Fairness,Quality work
"Yes, I consent",11–20 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,Silencing notifications,Feeling like any of it matters in any way.,Emptiness,35 - 44,Prefer not to say,Employed full-time,England,Not really,"Fairness, compassion, directness",,
"Yes, I consent",21–30 minutes,Background noise / environment,Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,Remove any unavoidable external noise or distraction,Frustrated,55 +,Female,Employed part-time,UK,Yes definitely,"Honesty,",Loyalty,Commitment
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Aligning tasks with personal priorities or values",I think mindfulnessmeditation is a the best tool to improve your ability to focus. Mindfulness Meditation helps improve your focus and concentration.,"Confused/Frustrated. One always seems confused, mentally tired and unable to concentrate whenever he/she loses focus while completing task/job.",45 - 54,Male,Employed full-time,UK,Yes definitely,Compassion,Patience,Emotional resilience
"Yes, I consent",21–30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","Quite probably retiring!  As we age, it becomes harder to focus on several tasks at once.  This doesn't happen all the time, and there are days where I feel extremely focused, however removing my job would help.  And lists!  I always have a lot of lists, so condensing these and making them more useful would help.",Frustrated,55 +,Female,Employed full-time,United Kingdom,Somewhat,Helping my daughters,Honesty,Loyalty
"Yes, I consent",More than 30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",The ability to be able to stay focused even when the task is extremely boring or unpleasant,uninterested,35 - 44,Female,Employed full-time,USA,Yes definitely,Health,Family,Work
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Often,Often,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",The ability to put worries to the back of my mind.,Frustrated,45 - 54,Female,Employed full-time,Uk,Somewhat,Honesty ,Kindness,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Minimise interactions with phone,anxious,25 - 34,Female,Employed full-time,Australia,Somewhat,"concern for others, loyalty, creativity",love,happiness
"Yes, I consent",5–10 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Almost always,Almost always,Often,Somewhat aligned,I feel somewhat more focused,None of the above,Finding enjoymemt,Depressed,45 - 54,Female,Employed full-time,Australia,Yes definitely,"Ethical, transperancy, honesty",Trust,Fairness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Rarely,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Taking breaks / exercise",limit when i read and reply to emails,aware,35 - 44,Male,Employed full-time,UK,Somewhat,respect,work ethic ,honesty
"Yes, I consent",21–30 minutes,"Email or messaging apps, Background noise / environment, Colleagues, family, or friends",Almost always,Almost always,Almost always,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Be more focused on important tasks and relationships.,"Dissapointed, sad.",25 - 34,Male,Student,United Kingdom,Yes definitely,"Honesty, kind, hard working.",Communication.,Transparent.
"Yes, I consent",5–10 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Almost always,Almost always,Often,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,My ability to focus on tasks I dont find interesting,Frustrated,25 - 34,Female,Employed full-time,England,Not really,be kind,have empathy,have boundaries
"Yes, I consent",5–10 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Sometimes,Almost always,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",Remove my phone from the situation ,Frustrated,25 - 34,Female,Employed full-time,England ,Not really,"Hard work, trust, family ",,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Almost always,Almost always,Almost always,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",That I would have more willpower. I read a lot and sometimes I take a quick break to say reply to a friend and before I know I’m on TikTok. I just wish I had more willpower to delete the app and never use ut ,Frustrated ,25 - 34,Female,Employed full-time,United Kingdom Scotland ,Yes definitely,Family and friends being priority,Treating people how I want to be treated in life ,Living life to the fullest 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",A zone where it was guaranteed to be silent around me. Without phones to distracted ,Overwhelmed,25 - 34,Male,Employed full-time,England,Not really,Family,Integrity,Faithfulness 
"Yes, I consent",21–30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would lock myself in a room with no distractions at all.,Away,45 - 54,Female,Employed part-time,United Kingdom,Yes definitely,Integrity,Honesty,Truthfulness
"Yes, I consent",21–30 minutes,Multitasking / switching tasks,Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Increased determination to get started on tasks.,Disappointed,55 +,Female,Other,England,Somewhat,Integrity,Trust,Reliability
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Boredom, or lack of sustained energy",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values","Getting started is usually the thing, actually. I often want to do something, or I've looked forward to it, but then I'll put it off. If I understood why I do this, I think I'd be a wiser and happier person, but it still doesn't stop me doing it.",Weary,45 - 54,Male,Employed full-time,United Kingdom,Somewhat,morality,consistency,eudaimonia
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Often,Often,Neutral,I feel somewhat more focused,Silencing notifications,A quiet place to live.,Frustrated,55 +,Male,Unemployed,England.,Not really,Honesty.,,
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Often,Sometimes,Sometimes,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To be able to have complete peace without  other people causing noise,frustrated,55 +,Female,Self-employed,UK,Somewhat,"Honesty, ",loyalty,hard working
"Yes, I consent",21–30 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Often,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise","Office space, people more spread out",Frustrated,55 +,Female,Employed full-time,UK,Somewhat,Honesty,Respect,Approachability
"Yes, I consent",21–30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",try to get a decent nights sleep,inattentive,55 +,Female,Employed full-time,england,Yes definitely,"honesty, ",accountably,punctuality
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Often,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise",silence phone and notifications,Failure,45 - 54,Female,Employed full-time,United Kingdom,Yes definitely,"Honesty, kindness, responsibility",compassion,achievement
